Dates	Ticker	Weight
31/08/2013	UTHR UW Equity	0.010155
31/08/2013	VNDA UQ Equity	0.001093
31/08/2013	VPHM UW Equity	0.005677
31/08/2013	VRTX UW Equity	0.035900
31/08/2013	VVUSQ UW Equity	0.003637
31/08/2013	WCRX UW Equity	0.015511
31/08/2013	XNPT UW Equity	0.000668
31/08/2013	XOMA UQ Equity	0.001116
31/08/2013	ZGNX UQ Equity	0.000494
30/09/2013	1832555D UQ Equity	0.001981
30/09/2013	1872828D UW Equity	0.000000
30/09/2013	1878384D UQ Equity	0.001174
30/09/2013	1893407D UW Equity	0.000794
30/09/2013	ACAD UQ Equity	0.006638
30/09/2013	ACOR UW Equity	0.003796
30/09/2013	AEGR UW Equity	0.006757
30/09/2013	AFFX UW Equity	0.001208
30/09/2013	AKRXQ UW Equity	0.000000
30/09/2013	ALKS UW Equity	0.012416
30/09/2013	ALNY UW Equity	0.010968
30/09/2013	ALXN UW Equity	0.040018
30/09/2013	AMAG UW Equity	0.001268
30/09/2013	AMGN UW Equity	0.076293
30/09/2013	AMRI UW Equity	0.001108
30/09/2013	AMRN UQ Equity	0.002454
30/09/2013	ARIA UW Equity	0.009269
30/09/2013	ARNA UW Equity	0.003130
30/09/2013	ARQL UQ Equity	0.000398
30/09/2013	ASTX UW Equity	0.002191
30/09/2013	AUXL UW Equity	0.002450
30/09/2013	AVEO UW Equity	0.000294
30/09/2013	AVNR UW Equity	0.001679
30/09/2013	BIIB UW Equity	0.083917
30/09/2013	BMRN UW Equity	0.027538
30/09/2013	CADX UW Equity	0.001478
30/09/2013	CASC UW Equity	0.000356
30/09/2013	CBIO UW Equity	0.000486
30/09/2013	CBST UW Equity	0.011429
30/09/2013	CELG UW Equity	0.081647
30/09/2013	CERS UQ Equity	0.001273
30/09/2013	CLDX UW Equity	0.007809
30/09/2013	CLVSQ UW Equity	0.004991
30/09/2013	CRIS UQ Equity	0.000992
30/09/2013	DNDNQ UW Equity	0.001258
30/09/2013	DYAX UQ Equity	0.002043
30/09/2013	ECYT UW Equity	0.001308
30/09/2013	ENDPQ UW Equity	0.014123
30/09/2013	ENZN UW Equity	0.000201
30/09/2013	EXEL UW Equity	0.002916
30/09/2013	FOLD UQ Equity	0.000313
30/09/2013	FRTX UW Equity	0.000295
30/09/2013	FURX UW Equity	0.001233
30/09/2013	GERN UW Equity	0.001173
30/09/2013	GEVA UW Equity	0.004734
30/09/2013	GHDX UW Equity	0.002549
30/09/2013	GILD UW Equity	0.077414
30/09/2013	GRFS UW Equity	0.008162
30/09/2013	HALO UW Equity	0.003404
30/09/2013	HITK UW Equity	0.001596
30/09/2013	HPTX UQ Equity	0.001428
30/09/2013	IDIX UW Equity	0.001899
30/09/2013	ILMN UW Equity	0.027524
30/09/2013	IMGN UW Equity	0.003942
30/09/2013	IMMU UQ Equity	0.001397
30/09/2013	INCY UW Equity	0.015892
30/09/2013	INFI UW Equity	0.002279
30/09/2013	INVA UW Equity	0.011934
30/09/2013	IONS UW Equity	0.011781
30/09/2013	IPXL UW Equity	0.003845
30/09/2013	IRWD UW Equity	0.003074
30/09/2013	ITMN UW Equity	0.003428
30/09/2013	JAZZ UW Equity	0.014556
30/09/2013	LGND UQ Equity	0.002408
30/09/2013	LMNX UW Equity	0.002253
30/09/2013	LUMO UQ Equity	0.001314
30/09/2013	LXRX UW Equity	0.003312
30/09/2013	MACK UW Equity	0.001057
30/09/2013	MDCO UW Equity	0.005692
30/09/2013	MDGL UQ Equity	0.001186
30/09/2013	MDVN UW Equity	0.012269
30/09/2013	MNKD UQ Equity	0.004681
30/09/2013	MNTA UW Equity	0.002048
30/09/2013	MYGN UW Equity	0.005145
30/09/2013	MYL UW Equity	0.039663
30/09/2013	NBIX UW Equity	0.002066
30/09/2013	NKTR UW Equity	0.003292
30/09/2013	NPSP UQ Equity	0.008781
30/09/2013	NVAX UW Equity	0.001445
30/09/2013	NVLNF UW Equity	0.000644
30/09/2013	OMER UQ Equity	0.000792
30/09/2013	ONCT UQ Equity	0.000346
30/09/2013	ONXX UW Equity	0.024883
30/09/2013	OPTR UW Equity	0.001677
30/09/2013	OREXQ UW Equity	0.001654
30/09/2013	OSIR UQ Equity	0.001494
30/09/2013	PACB UW Equity	0.000982
30/09/2013	PCRX UW Equity	0.004360
30/09/2013	PDLI UW Equity	0.003038
30/09/2013	PGNX UW Equity	0.000833
30/09/2013	PSTV UQ Equity	0.000426
30/09/2013	QCOR UW Equity	0.009470
30/09/2013	QGEN UW Equity	0.013648
30/09/2013	REGN UW Equity	0.078141
30/09/2013	RGEN UW Equity	0.000960
30/09/2013	RIGL UW Equity	0.000852
30/09/2013	RPTP UQ Equity	0.002426
30/09/2013	SAVA UW Equity	0.000336
30/09/2013	SCLN UW Equity	0.000749
30/09/2013	SCMP UQ Equity	0.000721
30/09/2013	SGEN UW Equity	0.014534
30/09/2013	SGMO UW Equity	0.001543
30/09/2013	SGYPQ UQ Equity	0.001122
30/09/2013	SHPG UW Equity	0.010770
30/09/2013	SIGA UQ Equity	0.000548
30/09/2013	SLXP UW Equity	0.011226
30/09/2013	SNTS UW Equity	0.004077
30/09/2013	SPPI UW Equity	0.001446
30/09/2013	SQNM UW Equity	0.000838
30/09/2013	SRPT UQ Equity	0.004310
30/09/2013	SUPN UQ Equity	0.000617
30/09/2013	SVA UW Equity	0.000897
30/09/2013	TECH UW Equity	0.008028
30/09/2013	UTHR UW Equity	0.010713
30/09/2013	VNDA UQ Equity	0.000990
30/09/2013	VPHM UW Equity	0.007008
30/09/2013	VRTX UW Equity	0.037455
30/09/2013	VVUSQ UW Equity	0.002558
30/09/2013	XNPT UW Equity	0.000737
30/09/2013	XOMA UQ Equity	0.001120
30/09/2013	ZGNX UQ Equity	0.000518
31/10/2013	1832555D UQ Equity	0.001676
31/10/2013	1872828D UW Equity	0.000000
31/10/2013	1878384D UQ Equity	0.001507
31/10/2013	1893407D UW Equity	0.000692
31/10/2013	ACAD UQ Equity	0.005757
31/10/2013	ACOR UW Equity	0.003553
31/10/2013	AEGR UW Equity	0.006844
31/10/2013	AFFX UW Equity	0.001443
31/10/2013	AKRXQ UW Equity	0.000000
31/10/2013	ALKS UW Equity	0.013621
31/10/2013	ALNY UW Equity	0.010347
31/10/2013	ALXN UW Equity	0.044398
31/10/2013	AMAG UW Equity	0.001669
31/10/2013	AMGN UW Equity	0.082869
31/10/2013	AMRI UW Equity	0.001180
31/10/2013	AMRN UQ Equity	0.000672
31/10/2013	ARIA UW Equity	0.001162
31/10/2013	ARNA UW Equity	0.002733
31/10/2013	ARQL UQ Equity	0.000403
31/10/2013	AUXL UW Equity	0.002425
31/10/2013	AVEO UW Equity	0.000308
31/10/2013	AVNR UW Equity	0.001681
